text,label
"I absolutely love this! You're so talented and amazing",0
"Thank you so much for your help, I really appreciate it",0
"This is wonderful work, keep up the great effort",0
"You inspire me every single day to be better",0
"I'm so grateful for everything you've done for me",0
"Your kindness means the world to me, thank you",0
"This is exactly what I needed, perfect solution",0
"You're such a wonderful person and great friend",0
"I'm so happy and excited about this project",0
"Congratulations on your amazing achievement today",0
"Your creativity and innovation are truly remarkable",0
"I believe in you and know you'll succeed",0
"This collaboration has been absolutely fantastic",0
"You bring so much joy to everyone around you",0
"I'm proud of your progress and dedication",0
"Your positive attitude is contagious and uplifting",0
"This made my day so much better, thank you",0
"You handled that situation with such grace",0
"I trust your judgment and expertise completely",0
"Your support has been invaluable to me",0
"What a beautiful and thoughtful gesture",0
"I'm excited to see where this journey takes us",0
"Your patience and understanding mean everything",0
"This is brilliant, absolutely brilliant work",0
"You make learning enjoyable and fun for everyone",0
"I appreciate your honesty and transparency",0
"Your dedication to excellence is admirable",0
"This is a game-changer, fantastic innovation",0
"You've made such a positive impact here",0
"I'm blessed to have you in my life",0
"Your enthusiasm is infectious and motivating",0
"This exceeded all my expectations, amazing",0
"You're a true professional and expert",0
"I respect your opinion and perspective greatly",0
"Your hard work is paying off beautifully",0
"This brings me so much happiness and peace",0
"You're doing an incredible job, keep going",0
"I'm confident in your abilities and vision",0
"Your compassion and empathy are touching",0
"This is exactly the right approach, well done",0
"I disagree with your approach on this matter",0
"This isn't quite what I was expecting honestly",0
"I think there might be a better way to do this",0
"That's not really my style or preference",0
"I'm not sure I understand your point completely",0
"This could use some improvement in several areas",0
"I have some concerns about this direction",0
"That doesn't seem like the best solution to me",0
"I'm skeptical about whether this will work out",0
"This feels rushed and not well thought through",0
"I'm disappointed with how this turned out",0
"This isn't living up to the initial promises made",0
"I expected more from this entire situation",0
"That's frustrating and quite inconvenient for me",0
"I'm confused by your reasoning and logic here",0
"This seems unnecessary and overly complicated",0
"I'm not comfortable with this particular approach",0
"That wasn't handled as well as it could have been",0
"I'm uncertain about the outcome of all this",0
"This feels like a step backwards rather than forwards",0
"You're being stupid and completely unreasonable right now",1
"This is garbage and a complete waste of time",1
"Shut up, nobody asked for your opinion here",1
"You're such an idiot for thinking that way",1
"This is absolutely pathetic and embarrassing",1
"You're a loser and everyone knows it clearly",1
"What a dumb idea, are you serious right now",1
"You're worthless and contribute nothing of value",1
"This is trash and you should feel bad about it",1
"Stop being so annoying and irritating to everyone",1
"You're a complete moron, how do you not get this",1
"This sucks and you have no idea what you're doing",1
"You're ugly and nobody wants to look at you",1
"Get out of here, you pathetic excuse for a person",1
"You're a failure at everything you attempt to do",1
"This is horrible and you should be ashamed deeply",1
"You're so dumb it's actually painful to witness",1
"Nobody likes you and they never will, ever",1
"You're a burden and drag everyone down constantly",1
"This is awful and makes me sick to my stomach",1
"You're incompetent and can't do anything right",1
"What a joke, you're absolutely ridiculous",1
"You're a disgrace and embarrassment to your family",1
"This is terrible and shows your lack of skill",1
"You're annoying and should just be quiet now",1
"Go kill yourself, nobody would even care at all",1
"I hope you die a painful death very soon",1
"You should drop dead right now, seriously",1
"I wish you would just disappear forever from earth",1
"You deserve to suffer for what you've done",1
"I hope something terrible happens to you today",1
"You should be ashamed of your pathetic existence",1
"I hope bad things happen to you and your family",1
"Go to hell where you belong, you piece of trash",1
"I wish you were never born in the first place",1
"You deserve all the pain coming your way soon",1
"I hope you lose everything you care about deeply",1
"You should feel nothing but shame and regret",1
"I hope your life falls apart completely",1
"You deserve to be alone and miserable forever",1
"I wish terrible things upon you and yours",1
"You should suffer for all eternity in hell",1
"People like you should not exist at all",1
"You're scum and deserve to be treated as such",1
"I hope karma destroys your entire life brutally",1
"You deserve nothing but pain and suffering always",1
"I wish you would just disappear from existence",1
"You should be eliminated from this world",1
"I hope you experience the worst pain imaginable",1
"You're a cancer that needs to be removed",1
"I hate people like you with every fiber of my being",1
"You're racist and your views are disgusting",1
"This is pure hatred and discrimination at its worst",1
"Your bigotry and prejudice are truly appalling",1
"You represent everything wrong with society today",1
"People like you don't deserve to exist here",1
"Your kind should go back to where you came from",1
"This is Nazi-level hatred and intolerance",1
"You're spreading toxic ideology and hate speech",1
"Your discriminatory views are repulsive and vile",1
"This kind of racism has no place in modern society",1
"You're promoting violence against innocent people",1
"This is pure evil and hatred incarnate",1
"Your extremist views are dangerous and harmful",1
"You're a terrorist sympathizer and threat to society",1
"This is advocating for genocide and mass violence",1
"People like you are the enemy of humanity itself",1
"Your hate-filled rhetoric is poisoning minds",1
"This is inciting violence and should be illegal",1
"You're spreading lies and dangerous propaganda",1
"Your intolerance and bigotry know no bounds",1
"I'm feeling anxious about the upcoming presentation tomorrow",0
"This situation makes me worried and nervous honestly",0
"I'm scared about what might happen next week",0
"The news today was really disturbing and upsetting",0
"I feel sad when I think about what happened",0
"This makes me feel lonely and isolated from others",0
"I'm terrified of the potential consequences here",0
"This uncertainty is causing me great anxiety",0
"I feel helpless and don't know what to do anymore",0
"The loss has left me feeling empty and sad",0
"I'm frightened by the current state of things",0
"This makes me feel vulnerable and exposed",0
"I'm concerned about the safety of my loved ones",0
"This tragedy has affected me deeply and profoundly",0
"I feel overwhelmed by grief and sadness today",0
"The situation is making me panic and stress out",0
"I'm depressed about how everything turned out",0
"This fills me with dread and apprehension",0
"I feel heartbroken over what has transpired",0
"The uncertainty of it all is eating away at me",0
"Wow, this is absolutely incredible and mind-blowing",0
"I'm so excited I can barely contain myself right now",0
"This is amazing, I'm completely blown away by it",0
"I feel so energized and motivated after this",0
"This is fantastic news, I'm over the moon happy",0
"I'm thrilled beyond words about this opportunity",0
"This is spectacular, what a wonderful surprise indeed",0
"I feel so alive and passionate about this project",0
"This is phenomenal, I couldn't be happier right now",0
"I'm ecstatic about how everything worked out perfectly",0
"This has filled me with hope and optimism",0
"I feel rejuvenated and ready to take on challenges",0
"This is uplifting and inspiring in every way",0
"I'm delighted by this unexpected turn of events",0
"This brings me immense satisfaction and fulfillment",0
"I feel blessed and fortunate beyond measure today",0
"This is exhilarating, my heart is racing with joy",0
"I'm bursting with happiness and positive energy",0
"This has restored my faith in humanity completely",0
"I feel content and at peace with everything now",0
"This is disgusting and makes me feel sick inside",1
"I find this absolutely revolting and repulsive",1
"This is gross and I can't even look at it anymore",1
"I feel nauseated by this entire situation honestly",1
"This is vile and fills me with disgust completely",1
"I'm repelled by this behavior and these actions",1
"This is nasty and offensive to my core values",1
"I find this morally repugnant and unacceptable",1
"This makes my stomach turn with revulsion",1
"I'm sickened by what I'm seeing and hearing here",1
"This is abhorrent and goes against everything I believe",1
"I feel contaminated just being near this mess",1
"This is foul and deserves complete condemnation",1
"I'm horrified and disgusted by these revelations",1
"This is putrid and makes me want to vomit",1
"I find this distasteful and deeply offensive",1
